,nodes,buckets
140,pl_525001,1
141,pl_50815,0
142,pl_368105,1
143,pl_451077,1
144,pl_342306,0
145,pl_129500,1
146,pl_129500,1
147,pl_281440,1
148,pl_867266,0
149,pl_403498,1
150,pl_972535,1
151,pl_382029,0
152,pl_18403,1
153,pl_195175,1
154,pl_333805,0
155,pl_329702,0
156,pl_165878,1
157,pl_378160,1
158,pl_687516,0
159,pl_958667,0
160,pl_507987,1
161,pl_689993,0
162,pl_789634,0
163,pl_451077,1
164,pl_491196,0
165,pl_671129,0
166,pl_265751,1
167,pl_988219,0
168,pl_19514,0
169,pl_183769,0
170,pl_209014,0
171,pl_708513,1
172,pl_871747,0
173,pl_899283,1
174,pl_410067,0
175,pl_427219,0
176,pl_195175,1
177,pl_378160,1
178,pl_406589,1
179,pl_499278,0
180,pl_525001,1
181,pl_129500,1
182,pl_779855,0
183,pl_97819,1
184,pl_899283,1
185,pl_2168,0
186,pl_766521,0
187,pl_165878,1
188,pl_921581,0
189,pl_168060,0
190,pl_348896,1
191,pl_232145,0
192,pl_740928,1
193,pl_529160,1
194,pl_195175,1
195,pl_57285,0
196,pl_373420,1
197,pl_779303,0
198,pl_129500,1
199,pl_273760,0
200,pl_373420,1
201,pl_821013,1
202,pl_51239,0
203,pl_544404,1
204,pl_538002,0
205,pl_265751,1
206,pl_53536,0
207,pl_784894,0
208,pl_781705,0
209,pl_18403,1
210,pl_887679,0
211,pl_117369,0
212,pl_526682,0
213,pl_798039,0
214,pl_607427,0
215,pl_708513,1
216,pl_9227,0
217,pl_778639,0
218,pl_997409,0
219,pl_18403,1
220,pl_885835,0
221,pl_406589,1
222,pl_847131,0
223,pl_325422,1
224,pl_356090,1
225,pl_958733,0
226,pl_641634,0
227,pl_248071,0
228,pl_63341,0
229,pl_176624,0
230,pl_612412,0
231,pl_646851,0
232,pl_18403,1
233,pl_451077,1
234,pl_265751,1
235,pl_250396,0
236,pl_864916,1
237,pl_770746,0
238,pl_306230,0
239,pl_348896,1
240,pl_708513,1
241,pl_150900,0
242,pl_529160,1
243,pl_451077,1
244,pl_516637,0
245,pl_864916,1
246,pl_972535,1
247,pl_93653,0
248,pl_864916,1
249,pl_474479,0
250,pl_265751,1
251,pl_976231,0
252,pl_406589,1
253,pl_778717,0
254,pl_762852,0
255,pl_997373,1
256,pl_325422,1
257,pl_418168,0
258,pl_229584,0
259,pl_346581,1
260,pl_78321,0
261,pl_165878,1
262,pl_451077,1
263,pl_525001,1
264,pl_281440,1
265,pl_378160,1
266,pl_871182,1
267,pl_267241,0
268,pl_803041,0
269,pl_972535,1
270,pl_403498,1
271,pl_480707,0
272,pl_323021,0
273,pl_320582,0
274,pl_544404,1
275,pl_653126,1
276,pl_356090,1
277,pl_460491,0
278,pl_507987,1
279,pl_997373,1
280,pl_769007,0
281,pl_368105,1
282,pl_403498,1
283,pl_206764,1
284,pl_821013,1
285,pl_229121,0
286,pl_846884,0
287,pl_994265,0
288,pl_247657,0
289,pl_990088,0
290,pl_373420,1
291,pl_356090,1
292,pl_390308,0
293,pl_871182,1
294,pl_915322,0
295,pl_74048,1
296,pl_738687,0
297,pl_821013,1
298,pl_507987,1
299,pl_899283,1
300,pl_195175,1
301,pl_419331,0
302,pl_516656,0
303,pl_740928,1
304,pl_689674,0
305,pl_653126,1
306,pl_526435,0
307,pl_206764,1
308,pl_997373,1
309,pl_346581,1
310,pl_135797,0
311,pl_128276,0
312,pl_322489,0
313,pl_565019,0
314,pl_230111,0
315,pl_415737,0
316,pl_708513,1
317,pl_864916,1
318,pl_534106,0
319,pl_403498,1
320,pl_529160,1
321,pl_218636,0
322,pl_348203,0
323,pl_414470,0
324,pl_821013,1
325,pl_373420,1
326,pl_529160,1
327,pl_97819,1
328,pl_29146,0
329,pl_325792,0
